Accession	new_accession	PMID
cubulin	SMED_29161_V2_1	23318641
cyclin-B1	SMED30014394	27523733
cyclin-B2	SMED30005246	27523733
cyld-1	SMED30027594	27441386
D.21.6	D.21.6	17942485
dach	JN983825.1	21852957
DDX5-like	SMED30018602	28072387
diaph1	SMED30015407	279364
dlg-1	GDAG01063673.1	279364
dlg-2	GDAG01077877.1	279364
dlx	SMED30003366	21852957
dmg-10	GDAG01008672.1	279364
dmg-1	GDAG01052508.1	279364
dmg-2	GDAG01026281.1	279364
dmg-3	GDAG01068431.1	279364
dmg-4	GDAG01054362.1	279364
dmg-5	GDAG01023926.1	279364
dmg-6	GDAG01078994.1	279364
dmg-7	GDAG01066997.1	279364
dmg-8	GDAG01089392.1	279364
dmg-9	GDAG01010897.1	279364
DN29885	JQ650355.1	22411224
DN30398	DN303982.1	22411224
DN30398	DN303982.1	22411224
DN307058	DN307058.1	24173799
DNAH-B3	SMED30005046	21828097
dpg-1	GDAG01049680.1	279364
E3CTK0	BK007025.1	26884331
E3CTK8	BK007033.1	26884331
E3T7U2	GU295180.1	26884331
eepd1	SMED30026496	27523733
EF1a1-like	SMED30004295	28072387
egr-2	JX010482.1	25254346
elF4a-like	SMED30003202	28072387
endophilin-b1	SMED30005717	279364
EU29663	FJ463753.1	27074666
ey53	BK007033.1	18287199
eya	SMED30015071	21852957
eya	SMED30015071	25254346
eya	SMED30015071	279364
eye53-1	BK007033.1	22451003
eye53-2	BK007024.1	22451003
eye53	BK007033.1	18287199
eye53	BK007033.1	21295483
eye53	BK007033.1	23318635
f13e6.1	SMED30013503	279364
fgfr-1	JQ425160.1	27523733
fgfr-3	SMED30030751	27523733
fgfr-4	SMED30009204	27523733
fibrillin	AY068370.1	25725068
FJ80765	FJ807655	19766622
foxA1	JX010556.1	28072387
FoxA	JX010556.1	24737865
FoxA	JX010556.1	25254346
FoxD	KC577557.1	24415944
foxD	KC577557.1	24992682
foxD	KC577557.1	25254346
foxJ1-1	JX842843.1	23144623
foxJ1-2	JX842844.1	23144623
FoxJ1-4	JX842846.1	23144623
FoxQ2	SMED30032892	25254346
frizzled-4	EU130789.1	25725068
fz-4	EU130789.1	19805089
fz-4	EU130789.1	21566195
fz-4	EU130789.1	23318635
fz-4	EU130789.1	23318641
fz-4	EU130789.1	24523458
fz-4	EU130789.1	26556349
fzd-4	EU130789.1	24992682
gata456a	JF802198.1	28072387
gata4/5/6	JF802198.1	25254346
GCR099	SMED30014850	27163480
GCR114	SMED30031882	27163480
GCR147	SMED30033769	27163480
GCR223	SMED30026435	27163480
GCR230	SMED30023972	27163480
GCR256	SMED30024342	27163480
GCR271	SMED30003466	27163480
GCR351	SMED30032025	27163480
GCR380	SMED30001528	27163480
gdag01007492.1	GDAG01007492.1	279364
gdag01017383.1	GDAG01017383.1	279364
gdag01019077.1	GDAG01019077.1	279364
gdag01028718.1	GDAG01028718.1	279364
gdag01038768.1	GDAG01038768.1	279364
gdag01058380.1	GDAG01058380.1	279364
gdag01059973.1	GDAG01059973.1	279364
gdag01079171.1	GDAG01079171.1	279364
gpas	HQ121519	23318635
gpas	HQ121519	24523458
grn	DN304193.1	279364
GU591866	GU591866.1	21356107
GU591868	GU591868.1	21356107
h.113.11b	SMED30029882	279364
H.1.3B	AY067799.1	17942485
H.2.8b	SMED30030007	19852954
H2B	DN298006	24523458
h2b	DN298006	28976975
h.6.2f	SMED30006656	279364
h.64.1d	GDAG01074296.1	279364
hb.24.10d	SMED30016829	279364
hippo	KF990479.1	29357350
hmg-2	SMED30027770	27523733
hnf-4	JF802199.1	28072387
HO00650	HO006501.1	22411224
homer2	SMED30019353	279364
hunchback	SMED30012295	21937596
hypothetical-3539	GCZZ01003539.1	30399335
icp0	SMED30028291	279364
igg-1	GDAG01009160.1	279364
igg-2	GDAG01065819.1	279364
igg-3	GDAG01013505.1	279364
inr-1	JN049497.1	27523733
inx10	SMED30033245	21828097
inx10	SMED30033245	24523458
jnk	SMED30034763	27441386
junD	SMED30006731	27441386
junl-1	SMED30025757	27523733
KF487106	KF487106.1	24173799
laminB	SMED30033119	21295483
lamin-B	SMED30033119	23318641
laminB	SMED30033119	23318641
laminB	SMED30033119	28292427
laminin	DN293829.1	24523458
letm1	SMED30033722	279364
lhx1/5-1	KF134112.1	25254346
LYAG-like	SMED30028442	28072387
mag-1	AY067799	23318641
mag-1	AY067799	25725068
march	SMED30030835	279364
mat	EG413862	23318641
mbnl-1	SMED30018534	27502555
mbnl-like-1	SMED30024408	27502555
mbnl-like-2	SMED30028553	27502555
mfe-2	SMED30021228	279364
mhc-1	SMED30025388	28072387
mkk6-1	SMED30004633	27441386
MPEG1-like-1	SMED30000139	28072387
MPEG1-like-2	SMED30034696	28072387
MPEG1-like-3	SMED30015696	28072387
mpl-2	BK007016.1	22451003
nanos	EF035555.1	279364
NB.21.11e	JX122762.1	18786419
NB.21.11e	JX122762.1	23318635
NB.21.11e	JX122762.1	24415944
ndk	GU592830.1	24415944
ndk	GU592830.1	24704339
ndk	GU592830.1	25558068
ndl-3	GU592832.1	23318641
ndl-4	GU592831.1	23318641
ndl-4	GU592831.1	24415944
netrin1	AY945304.1	23318641
netrin-like	SMED30023593	28072387
nhr-1	SMED30004154	279364
nibrin-like	SMED30019275	27523733
nlg-8	FJ471490.1	23318641
nog1	EF633690.1	21295483
NOP2	SMED30030466	22696458
notch-2	SMED30025325	28807895
npp-12	GU295182.1	22451003
nr-1	KJ934808.1	25254346
nrg-7	SMED30020792	27523733
nsd-1	JQ425134.1	27523733
numb-1	SMED30030724	28807895
opsin-1	SMED30030594	18287199
opsin-1	SMED30030594	28976975
otx	JN983826.1	21852957
p38-1	SMED30021209	27441386
p53	AY068713.3	20040488
p53	AY068713.3	26457503
p53	AY068713.3	28072387
pax6a	JX010503.1	28072387
PBGD	SMED30016690	27551436
pbx	KC353351.1	23318635
pbx	KC353351.1	23318641
pbx	KC353351.1	24992682
pc-2	BK007043.1	20707997
PC-2	BK007043.1	21566195
pc-2	BK007043.1	25558068
PC-2	BK007043.1	28072387
PCNA	EU856391	23629965
PCNA	EU856391	28072387
PDS	EC385034.1	19805089
PHB	SMED30003249	22696458
piwi-1	DQ186985.1	24415944
piwi-1	DQ186985.1	24523458
piwi-1	DQ186985.1	28072387
piwi-2	DQ186986.1	28072387
piwi-3	EU586258.1	28072387
pkn2	SMED30005823	27523733
PL04022B1F07	GDAG01085080.1	279364
plastin	HO007660.1	279364
PLK1	SMED30025780	22696458
plolx4	EU082824.1	25725068
Pmp-11	SmedASXL_009684	26114597
polo-like	SMED30025780	27523733
polq	SMED30023063	27523733
porcn-A	EU130791.1	28072387
porcupine-1	EU130791.1	22125640
porcupine-1	EU130791.1	23318635
pou2/3	SMED30030379	24523458
pou2/3	SMED30030379	28072387
pp6	SMED30008233	27441386
ppm1b	SMED30034219	27441386
prog-1	JX122762.1	24523458
Prog-1	JX122762.1	26114597
prog-1	JX122762.1	28072387
Prog-2	SMED30002134	26114597
PSD12	SMED30008839	22696458
PSMC4	SMED30030650	22696458
Q2Q5Y8	DQ186986.1	28072387
Q2Q5Y9	DQ186985.1	28072387
rad54b	SMED30009590	27523733
RAN	SMED30030013	22696458
Raptor	JF894290.2	22451003
Rictor	JN815259.1	22451003
rnf121	SMED30021937	279364
rnf167	SMED30024336	279364
RNR_M2-2	JX010501.1	28072387
RRM1	SMED30029973	22696458
RUVB2	SMED30025807	22696458
saah-aaa85e05	EE280776.1	19852954
saah-aab84c07	EE673351.1	19852954
saah-aac61a11.g1	EG344641.1	19852954
scaf11	GDAG01043863.1	279364
sFRP-1	EU296635	19805089
sFRP-1	EU296635	21566195
sFRP-1	EU296635	22125640
sFRP-1	EU296635	23318635
sFRP-1	EU296635	23318641
sFRP-1	EU296635	24415944
sFRP-1	EU296635	24523458
sFRP-1	EU296635	24704339
sFRP-1	EU296635	24992682
sFRP-1	EU296635	25558068
sFRP-1	EU296635	25725068
sFRP-1	EU296635	26556349
six-1/2	JN983827.1	21852957
six3	JX010630.1	25254346
slit	DQ336176	20707997
slit	DQ336176	21295483
slit	DQ336176	23318635
slit	DQ336176	23318641
slit	DQ336176	24415944
SMED_00244_V2	SMED30012332	22385657
SMED_00256_V2	SMED30031463	22385657
Smed_00357	SMED30013445	22884275
Smed_00677	SMED30008405	22884275
Smed_00703	SMED30002295	22884275
Smed_00858	SMED30032368	22884275
Smed_00978	SMED30009508	22884275
Smed_01362	SMED30024551	22884275
smed013934	SMED30031425	27034770
Smed_01915	SMED30006085	22884275
Smed_02471	SMED30029255	22884275
Smed_02480	SMED30013692	22884275
SMED_02582_V2	SMED30017595	22385657
Smed_02759	SMED30022428	22884275
Smed_03129	SMED30027710	22884275
Smed_03462	SMED30019307	22884275
Smed_03464	SMED30024516	22884275
Smed_03496	SMED30023840	22884275
Smed_04136	SMED30001672	22884275
Smed_04256	SMED30003066	22884275
Smed_04497	SMED30017650	22884275
Smed_04906	SMED30011402	22884275
SMED_05061_V2	SMED30008505	22385657
Smed_05359	SMED30011469	22884275
Smed_05608	SMED30027886	22884275
Smed_05646	SMED30004383	22884275
Smed_05789	SMED30000596	22884275
SMED_06686_V2	SMED30028549	22385657
Smed_06952	SMED30014819	22884275
Smed_07243	SMED30029757	22884275
Smed_07357	SMED30019914	22884275
Smed_07486	SMED30022522	22884275
Smed_07503	SMED30018526	22884275
Smed_08086	SMED30013686	22884275
Smed_08711	SMED30009756	22884275
SMED_08795_V2	SMED30035424	22385657
Smed_08883	SMED30011215	22884275
Smed_08951	SMED30020051	22884275
Smed_08993	SMED30019095	22884275
Smed_09132	SMED30000488	22884275
Smed_09268	SMED30020469	22884275
Smed_09274	SMED30036016	22884275
Smed_09627	SMED30024342	22884275
Smed_09720	SMED30017852	22884275
SMED_10510_V2	SMED30023708	22385657
Smed_10513	SMED30034968	22884275
Smed_10538	SMED30018825	22884275
Smed_10799	SMED30021215	22884275
Smed_11291	SMED30027684	22884275
SMED_11833_V2	SMED30019097	22385657
Smed_11992	SMED30013129	22884275
Smed_12199	SMED30004142	22884275
Smed_12493	SMED30018530	22884275
Smed_12518	SMED30015272	22884275
Smed_13049	SMED30033245	22884275
Smed_13405	SMED30004877	22884275
Smed_14471	SMED30035339	22884275
Smed_14918	SMED30000964	22884275
Smed_15984	SMED30017949	22884275
Smed_16656	SMED30020715	22884275
Smed_17028	SMED30030374	22884275
Smed_17151	SMED30015176	22884275
Smed_19866	SMED30004455	22884275
Smed_20047	SMED30027945	22884275
Smed_20488	SMED30011936	22884275
SMED_20741_V2	SMED30009651	22385657
Smed_20798	SMED30002301	22884275
Smed_20991	SMED30003444	22884275
Smed_21334	SMED30033769	22884275
Smed_21613	SMED30015061	22884275
Smed_21691	SMED30026182	22884275
SMED_21705_V2	SMED30025757	22385657
Smed_22239	SMED30021280	22884275
Smed_22592	SMED30003012	22884275
Smed_23244	SMED30031519	22884275
Smed_23388	SMED30029026	22884275
Smed_23489	SMED30008195	22884275
Smed_23802	SMED30022145	22884275
Smed_25626	SMED30022812	22884275
SMED_25793_V2	SMED30035063	22385657
Smed_26028	SMED30004017	22884275
Smed_26053	SMED30031651	22884275
Smed_26688	SMED30008588	22884275
Smed_26962	SMED30029811	22884275
Smed_27330	SMED30022429	22884275
Smed_27566	SMED30026934	22884275
SMED_28576_V2	SMED30023483	22385657
Smed_28813	SMED30008157	22884275
Smed_29424	SMED30018266	22884275
Smed_29449	SMED30006813	22884275
Smed_30263	SMED30023344	22884275
Smed_30824	SMED30030065	22884275
Smed_30963	SMED30009498	22884275
Smed_31312	SMED30015514	22884275
Smed_32281	SMED30003346	22884275
Smed_32587	SMED30014606	22884275
Smed_32930	SMED30011091	22884275
Smed_33093	SMED30003166	22884275
Smed_34076	SMED30003750	22884275
Smed_34307	SMED30019358	22884275
Smed_34343	SMED30034201	22884275
Smed_34512	SMED30024549	22884275
SMED_38140_V2	SMED30034490	22385657
Smed_53sley	SMED30010592	22884275
Smed_59sley	SMED30017182	22884275
Smed-5ht-r1	SMED30021550	22884275
Smed-5ht-r2	SMED30034855	22884275
Smed-AbdBa	EU082823.1	18287199
Smed-AbdBa	EU082823.1	21282632
Smed-abl	SMED30034880	22884275
Smed-acs1	GDAG01033469.1	279364
Smed-actin-1	SMED30016078	22884275
Smed-actin-2	SMED30016078	22884275
Smed-admp-1	HQ911779.1	21295481
Smed-admp	HQ911779.1	21295483
Smed-APC	EU130785	18063757
Smed-arrb-2	SMED30031199	22884275
Smed-art	SMED30015874	22884275
Smed-atp13	SMED30029665	22884275
Smed-Axin-1	GU808528.1	18063757
Smed-Axin-1	GU808528.1	21806978
Smed-Axin-2	GU808529.1	18063757
Smed-Axin-2	GU808529.1	21806978
Smed-Axin-A	GU808528.1	21806978
Smed-Axin-B	GU808529.1	21806978
Smed-best-a	SMED30008018	22884275
Smed-best-b	SMED30027767	22884275
Smed-beta-catenin-2	EU082825	18287199
smedbmp4-1	ABV04322.1	17942485
Smed-bmp	EF633689.1	21295481
Smed-bmp	EF633689.1	22451003
Smed-boule-1	KU519616	27330085
Smed-boule-2	KT709533.1	27149082
Smed-boule-2	KU519617	27330085
Smed-boule	KT709533.1	27149082
Smed-cat-1	SMED30010507	22884275
Smed-cat-2	SMED30033774	22884275
Smed-cct1a	MF669561.1	29095551
Smed-cct2	MF669562.1	29095551
Smed-cct3a	MF669563.1	29095551
Smed-cct3b	MF669564.1	29095551
Smed-cct4a	MF669565.1	29095551
Smed-cct4b	MF669566.1	29095551
Smed-cct5	MF669567.1	29095551
Smed-cct6	MF669568.1	29095551
Smed-cct7	MF669569.1	29095551
Smed-cct8a	MF669570.1	29095551
Smed-cct8b	MF669571.1	29095551
Smed-CDC25-1	KU852687	27330085
Smed-CDC25-2	KU852688	27330085
Smed-cdh23	SMED30010835	22884275
Smed-cdkl1	SMED30006225	22884275
Smed-cds	SMED30002758	22884275
Smed-cftr	SMED30027178	22884275
Smed-cgs-pde	SMED30008671	22884275
smed-chat	FG310880	21566185
Smed-cintillo	AY067542.1	17905225
Smed-cintillo	AY067542.1	20422023
Smed-cintillo	AY067542.1	21282632
Smed-cintillo	AY067542.1	21295481
Smed-cintillo	AY067542.1	21806978
Smed-clic	SMED30028063	22884275
Smed-cng	SMED30010168	22884275
Smed-cpo	SMED30028255	22884275
Smed-crf-r	SMED30000450	22884275
Smed-crol	SMED30034853	22884275
Smed-dagk	SMED30018866	22884275
Smed-DAZAP1	KU852669	27330085
Smed-DAZAP2	KU852670	27330085
Smed-ddc	SMED30020439	22884275
Smed-ddryk	SMED30000553	22884275
Smed-div	HQ141793.1	21282632
Smed-Dll-1	SMED30003366	27034770
Smed-dmd-1	KC736555	23652002
Smed-dvl-1	EU130787.1	18063757
Smed-dvl-1	EU130787.1	21282632
Smed-dvl-2	EU130788.1	18063757
Smed-dvl-2	EU130788.1	21282632
Smed-dvl-a	EU130787.1	18063757
Smed-dvl-b	EU130788.1	18063757
Smed-dynA-1	SMED30025232	24950970
Smed-dynA-2	SMED30000411	24950970
Smed-dynA-3	SMED30004594	24950970
Smed-dynB-1	SMED30000459	24950970
Smed-dynB-2	SMED30005617	24950970
Smed-dynB-3	SMED30027152	24950970
Smed-DZIP	KU852671	27330085
Smed-eag	SMED30004462	22884275
Smed-egfr-1	HM777018.1	27122174
Smed-erm	SMED30032019	22884275
Smed-evi	FJ463748.1	19211673
Smed-eye53-1	BK007033.1	17905225
Smed-eye53-1	BK007033.1	21295481
Smed-eye53	BK007033.1	21806978
Smed-FoxD	KC577557.1	24704339
Smed-foxq2	SMED30032892	22884275
Smed-fz-4	EU130789.1	18063757
Smed-fz-d	EU130789.1	18063757
Smed-fzdP-1	SMED30020953	22884275
Smed-fzdP-2	SMED30016952	22884275
smed-gata456	JF802198.1	21566185
Smed-gls	SMED30031686	22884275
Smed-glut3	SMED30000697	22884275
Smed-gna-o	SMED30003275	22884275
Smed-gna-q	SMED30007610	22884275
Smed-gnb	SMED30003418	22884275
Smed-gnc	SMED30020678	22884275
Smed-Gpas	HQ121519.1	21282632
Smed-Gpas	HQ121519	21806978
Smed-gpcrP-1	SMED30034676	22884275
Smed-gpcrP-2	SMED30027732	22884275
Smed-GRSF1-1	KU852676	27330085
Smed-GRSF1-2	KU852677	27330085
Smed-gst	SMED30022232	22884275
Smed-gucy-2	SMED30008651	22884275
smed-h2b	DN298006	21566185
Smed-hcng	SMED30004463	22884275
smed-hnf4	JF802199.1	21566185
Smed-Hox2/3a	SMED30015916	27034770
Smed-Hox4a	SMED30007227	27034770
Smed-Hox4b	SMED30032613	27034770
Smed-HoxD	EU082824.1	18287199
Smed-HoxD	EU082824.1	20422023
Smed-HoxD	EU082824.1	21282632
Smed-HoxD	EU082824.1	21806978
Smed-ifb	HM135949	21295481
Smed-Iguana	KU852671	27330085
Smed-inpp5	SMED30008456	22884275
Smed-ip3k	SMED30004278	22884275
Smed-ip3r	SMED30014577	22884275
smed-laminin	DN293829.1	23318635
Smed-lox4	SMED30029233	27034770
Smed-mag-1	AY067799	21295481
Smed-maguk	SMED30007389	22884275
smed-mat	EG413862	21566185
Smed-mct-1	SMED30028236	22884275
Smed-mct-2	SMED30005453	22884275
Smed-med14	SmedASXL_014533	25772472
smed-mhc1	SMED30025388	21566185
Smed-mpdz	SMED30006093	22884275
Smed-msh-2	JF511467	21747960
Smed-myoVIIA	SMED30003228	22884275
Smed-myoVI	SMED30014199	22884275
Smed-nabct	SMED30013093	22884275
Smed-ncx	SMED30029327	22884275
Smed-nf-i/a	SMED30024999	22884275
Smed-NF-YA1	KU366701	27304889
Smed-NF-YA2	KU366702	27304889
Smed-NF-YB2	KU366700	27304889
Smed-NF-YB	HM100653	27304889
Smed-NF-YC	KU366703	27304889
Smed-nhe-rf	SMED30026227	22884275
Smed-nhr-1	SMED30004154	25278423
Smed-nhr-2	SMED30012861	25278423
Smed-ninag	SMED30004686	22884275
Smed-nkx1	SMED30005805	22884275
Smed-nlg1	EF633691.1	19174194
Smed-nlg2	FJ471484.1	19174194
Smed-nlg3	FJ471485.1	19174194
Smed-nlg5	FJ471487.1	19174194
Smed-nlg7	FJ471489.1	19174194
Smed-nlg8	FJ471490.1	19174194
Smed-nog1	EF633690.1	19174194
Smed-noggin1	EF633690.1	17905225
Smed-nol1	SMED30033418	22884275
Smed-nos	EF035555.1	17390146
Smed-npyr-1	KX018969	27163480
Smed-npyr-2	SMED30001528	27163480
Smed-npyr-3	SMED30016794	27163480
Smed-npyr-3	SMED30024342	27163480
Smed-npyr-3	SMED30031882	27163480
Smed-npyr-7	SMED30003466	27163480
Smed-npyr-7	SMED30014850	27163480
Smed-npyr-7	SMED30026435	27163480
Smed-nrg-1	KU850495.2	27122174
smedolloid-1	H.14.4a	17942485
Smed_ophis	KX018822	27163480
Smed-ophis	KX018822	27163480
Smed-otxB	SMED30008131	21282632
Smed-otxB	SMED30008131	21806978
Smed-pabpc2	SMED30009858	28807897
smed-PC2	BK007043.1	21566185
Smed-pcdhP-1	SMED30013790	22884275
Smed-pcdhP-2	SMED30034986	22884275
Smed-pcdhP-3	SMED30024873	22884275
Smed-pcdhP-4	SMED30002762	22884275
smed-pcna	EU856391	21566185
Smed-PCNA	EU856391	21747960
Smed-pctaire	SMED30001570	22884275
Smed-pde1c	SMED30025532	22884275
Smed-pis	SMED30000221	22884275
Smed-pitp	SMED30021279	22884275
Smed-piwi-2	DQ186986.1	21806978
Smed-pkc	SMED30007480	22884275
Smed-pkd2	SMED30022392	22884275
Smed-plcb	SMED30014607	22884275
Smed-pmca2	SMED30008033	22884275
Smed-porcn-1	EU130791.1	18063757
Smed-porcn-1	EU130791.1	20707997
Smed-porcn-2	SMED30003443	18063757
Smed-porcn-A	EU130791.1	18063757
Smed-Post-1	SMED30031425	27034770
Smed-Post-2b	SMED30013674	27034770
Smed-Post-2d	SMED30015704	27034770
Smed-prep	GU290186.1	20422023
Smed-pthr	SMED30017522	22884275
Smed-pumilio	KU852681	27330085
Smed-qdr	SMED30033100	22884275
Smed-rgs6/7/9	SMED30030621	22884275
Smed-Ringo/SPY	KU852682	27330085
Smed-robo-c	SMED30025239	22884275
Smed-rops2	SMED30001792	22884275
smed-RRM2	H.39.11e	21566185
Smed-sans	SMED30005308	22884275
Smed-SDAD1	KU852686	27330085
Smed-sFRP-1	EU296635	18063755
Smed-sFRP1	EU296635	18063757
Smed-sFRP-1	EU296635	20422023
Smed-sFRP-1	EU296635	20707997
Smed-sFRP-1	EU296635	21806978
Smed-sFRP2	HM751831.1	18063757
Smed-sFRP-2	HM751831.1	20707997
Smed-sFRP3	HM751832.1	18063757
Smed-sFRP-3	HM751832.1	20707997
Smed-sFRP-a	EU296635	18063757
Smed-sk3	SMED30004698	22884275
Smed-slc24a-3	SMED30004325	26057828
Smed-slc2a-4	SMED30021098	26057828
Smed-slc40a1	SMED30021651	26057828
Smed-slc4a-6	SMED30028425	26057828
Smed-slc9a-3	SMED30000707	26057828
Smed-slit	DQ336176	20422023
Smed-slit	DQ336176	20707997
Smed-smad6/7-1	JQ278719.1	22451003
Smed-smad6/7-2	JQ278720.1	22451003
Smed-smad6/7-2	JQ278720.1	22884275
Smed-ß-catenin-1	EU130786.1	18063757
Smed-ß-catenin-2	EU082825.1	18063757
Smed-ß-catenin-3	KT983970.1	18063757
Smed-�-catenin-1	EU130786.1	18063757
Smed-stim	SMED30025144	22884275
Smed-syk	SMED30003048	22884275
smed-synapsin	dd_Smed_v6_3135_0_1	21566185
Smed-TCEN-1	EU082822.1	21282632
Smed-TCEN49	EU082822.1	18287199
Smed-TCEN49	EU082822.1	20422023
Smed-TCF1	KY196228.1	28976975
Smed-TCF3	KY196228.1	28976975
Smed-tert	JF693291.1	22371573
Smed-TRF2-1	KU852673	27330085
Smed-trpc-1	SMED30025288	22884275
smed-trpc-2	SMED30026628	22884275
Smed-ttbk	SMED30028591	22884275
Smed-unc5-1	SMED30019501	22884275
Smed-unc5-2	SMED30021266	22884275
Smed-vang-2	HQ141794.1	21282632
Smed-vangl-2	SMED30003750	22884275
Smed-vasa1	JQ425140.1	27330085
Smed-vasa2	JQ425141.1	27330085
smedwi-1	DQ186985.1	21566185
smedwi-1	DQ186985.1	23318641
Smedwi-1	DQ186985.1	23629965
smedwi-1	DQ186985.1	24704339
smedwi-1	DQ186985.1	29357350
Smed-wls	FJ463748.1	19211673
Smed-wnt11-2	FJ463751	19211673
Smed-wnt11-5	EU296631.1	20707997
Smed-wnt11-6	FJ463750.1	20707997
Smed-wnt1	EU296630.1	18063757
Smed-wnt2	FJ463753.1	18063757
Smed-wnt2	FJ463753.1	20707997
Smed-wnt3	EU296632.1	18063757
Smed-Wnt4	FJ463750.1	18063757
Smed-wnt5	FJ463749.1	18063757
Smed-wnt5	FJ463749.1	19211673
Smed-wnt5	FJ463749.1	20707997
Smed-wnt6	FJ463752.1	18063757
Smed-wnt7	FJ463751	18063757
Smed-wntA	FJ463750.1	19211673
Smed-wntA	FJ463750.1	20422023
Smed-wntP1	EU296630.1	18063757
Smed-wnt-P1	EU296630.1	19211673
Smed-wntP2	FJ463753.1	18063757
Smed-wntP3	EU296632.1	18063757
Smed-zfp-2	SMED30000277	22884275
Smed-zicA	KF751216.1	24704339
SoxB	SMED30025778	25254346
SoxP-1	JQ425151.1	28072387
SoxP-2	JQ425152.1	28072387
sp5	KP003818.1	279364
sp-9	JN983830.1	28976975
spondin-1-like	SMED30032088	28072387
S/T	SMED30024555	27523733
syt	SMED30022907	28072387
tak1	SMED30014989	27441386
tak1	SMED30014990	27441386
tak1	SMED30014991	27441386
tbh	JN400361.1	28976975
tct-like	SMED30025427	28072387
tdp2	SMED30022404	27523733
teashirt	KP003815.1	25725068
tetraspanin-66e	GDAG01039019.1	279364
timeless	SMED30017903	27523733
TOR	JF894291.2	22451003
tr5_23878	SMED30030074	25558068
tr5_c153	SMED30034998	25558068
traf2	SMED30026063	279364
traf6-1	SMED30002332	279364
traf6-2	SMED30035887	279364
trak2	SMED30016387	279364
tropomyosin	SMED30015345	279364
trpm3	SMED30005926	279364
trr-2	DN309269.1	30194301
tsh	KP003815.1	25558068
tsp1	DN305069.1	279364
tsp-1-l	DN305069.1	279364
twist	KF487106.1	25254346
uc_Smed_v1_Contig48469	KF751216.1	24992682
V31.002347:	JX188060.1	27654173
VAL-like	SMED30015313	28072387
vamp2	GDAG01053886.1	279364
vasa-1	JQ425140.1	27523733
vim-3	SMED30024865	28072387
vim	SMED30024865	29357350
wnt11-2	FJ463751	20707997
wnt11-2	FJ463751	24415944
wnt11-2	FJ463751	24523458
wnt11-2	FJ463751	25558068
wnt11-2	FJ463751	26556349
wnt11-4	EU296632.1	20707997
wnt11-5	EU296631.1	26556349
wnt1	EU296630.1	19805089
wnt1	EU296630.1	20707997
wnt-1	EU296630.1	21566195
wnt-1	EU296630.1	23318641
wnt1	EU296630.1	23318641
wnt1	EU296630.1	24415944
wnt1	EU296630.1	24523458
wnt-1	EU296630.1	24992682
wnt1	EU296630.1	25725068
wnt1	EU296630.1	26556349
wnt-2	FJ463753.1	23318641
wnt5	FJ463749.1	21295483
wnt-P2	FJ463753.1	23318641
y-box	SMED30014813	27523733
zfp-1	JQ425154.1	29357350
zic-1	KF751216.1	24992682
zpuf-6	SMED30030681	28072387
2-Mar	GDAG01088933.1	279364
